Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      259     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::push_back(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00      259     0.00     0.00  void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00      254     0.00     0.00  sf::Transformable::Transformable(sf::Transformable const&)
  0.00      0.00     0.00      246     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.00      0.00     0.00      246     0.00     0.00  std::vector<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::operator[](unsigned long)
  0.00      0.00     0.00      227     0.00     0.00  sf::String::~String()
  0.00      0.00     0.00      227     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      0.00     0.00      227     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      0.00     0.00      227     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_is_local() const
  0.00      0.00     0.00      227     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_local_data() const
  0.00      0.00     0.00      227     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      0.00     0.00      227     0.00     0.00  std::pointer_traits<unsigned int const*>::pointer_to(unsigned int const&)
  0.00      0.00     0.00      227     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::deallocate(std::allocator<unsigned int>&, unsigned int*, unsigned long)
  0.00      0.00     0.00      227     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_destroy(unsigned long)
  0.00      0.00     0.00      227     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_dispose()
  0.00      0.00     0.00      227     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_Alloc_hider::~_Alloc_hider()
  0.00      0.00     0.00      227     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_get_allocator()
  0.00      0.00     0.00      227     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::~basic_string()
  0.00      0.00     0.00      227     0.00     0.00  unsigned int const* std::__addressof<unsigned int const>(unsigned int const&)
  0.00      0.00     0.00      227     0.00     0.00  unsigned int const* std::addressof<unsigned int const>(unsigned int const&)
  0.00      0.00     0.00      192     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::base() const
  0.00      0.00     0.00      192     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl_data&)
  0.00      0.00     0.00      192     0.00     0.00  std::vector<Contenedor, std::allocator<Contenedor> >::operator[](unsigned long)
  0.00      0.00     0.00      192     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > std::__miter_base<__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > >(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >)
  0.00      0.00     0.00      192     0.00     0.00  sf::Vertex const* std::__niter_base<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >)
  0.00      0.00     0.00      192     0.00     0.00  sf::Vertex* std::__niter_base<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >(__gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >)
  0.00      0.00     0.00      184     0.00     0.00  unsigned long long& arma::access::rw<unsigned long long>(unsigned long long const&)
  0.00      0.00     0.00      178     0.00     0.00  sf::Text::~Text()
  0.00      0.00     0.00      175     0.00     0.00  sf::Text::Text(sf::Text const&)
  0.00      0.00     0.00      172     0.00     0.00  float __gnu_cxx::__stoa<float, float, char>(float (*)(char const*, char**), char const*, char const*, unsigned long*)
  0.00      0.00     0.00      172     0.00     0.00  std::__cxx11::stof(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*)
